Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT người liên hệ 1_Khác""))",Chrome 119.0.0.0,,,2023-11-23 15:38:09,2023-11-23 15:38:10,0.526s,PASSED
"setText(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/textbox_TT người liên hệ 1_Họ và tên""), ""Nguyễn Văn A"")",Chrome 119.0.0.0,,,2023-11-23 15:38:10,2023-11-23 15:38:11,1.025s,PASSED
"setText(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/textbox_TT người liên hệ 1_Số điện thoại""), ""0385943921"")",Chrome 119.0.0.0,,,2023-11-23 15:38:11,2023-11-23 15:38:12,0.706s,PASSED
"scrollToElement(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/component_Thông tin người liên hệ""), 120)",Chrome 119.0.0.0,,,2023-11-23 15:38:12,2023-11-23 15:38:12,0.245s,PASSED
Thread.sleep(2000),Chrome 119.0.0.0,,,2023-11-23 15:38:12,2023-11-23 15:38:14,2.002s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/button_Thông tin uy tín tín dụng_Tra cứu CIC""))",Chrome 119.0.0.0,,,2023-11-23 15:38:14,2023-11-23 15:38:14,0.366s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/checkbox_Tra cứu CIC_Tổng hợp_Chọn tất cả""))",Chrome 119.0.0.0,,,2023-11-23 15:38:14,2023-11-23 15:38:15,0.526s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/button_Tra cứu CIC_Tra cứu""))",Chrome 119.0.0.0,,,2023-11-23 15:38:15,2023-11-23 15:38:15,0.519s,PASSED
"waitForElementNotPresent(findTestObject(""Sidebar_Khay/pageLoading_Đang xử lý""), 120)",Chrome 119.0.0.0,,,2023-11-23 15:38:15,2023-11-23 15:38:17,1.737s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/button_Tra cứu CIC_Đóng""), STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-23 15:38:17,2023-11-23 15:38:17,0.299s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/button_Tra cứu CIC_Hủy""))",Chrome 119.0.0.0,,,2023-11-23 15:38:17,2023-11-23 15:38:18,0.710s,PASSED
"scrollToElement(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/Component_Thông tin AML""), 120)",Chrome 119.0.0.0,,,2023-11-23 15:38:18,2023-11-23 15:38:19,0.664s,PASSED
Thread.sleep(2000),Chrome 119.0.0.0,,,2023-11-23 15:38:19,2023-11-23 15:38:21,2.003s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/button_Thông tin AML_Đồng bộ""))",Chrome 119.0.0.0,,,2023-11-23 15:38:21,2023-11-23 15:38:21,0.294s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Các action xử lý/button_Lưu""))",Chrome 119.0.0.0,,,2023-11-23 15:38:21,2023-11-23 15:38:24,3.078s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Các action xử lý/tab_Thông tin hồ sơ_Thông tin nguồn thu""))",Chrome 119.0.0.0,,,2023-11-23 15:38:24,2023-11-23 15:38:25,1.147s,PASSED
