Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Success_Luồng Thuận,Chrome 119.0.0.0,,,2023-11-24 08:54:08,2023-11-24 08:55:16,1m - 7.880s,PASSED
,,,,,,,
Test Cases/TCs_Luồng cấp mới/TCs_Nhập dữ liệu_Thông tin hồ sơ/TCs_Nhập dữ liệu_Thông tin hồ sơ_Thông tin KH và NLQ,Chrome 119.0.0.0,,,2023-11-24 08:54:08,2023-11-24 08:55:16,1m - 7.754s,PASSED
"callTestCase(findTestCase(""TCs_Luồng cấp mới/TCs_Nhập dữ liệu_Thông tin hồ sơ/TCs_Nhập dữ liệu_Thông tin hồ sơ_Thông tin khởi tạo""), [""MaDoiTac_Valid"":""000123""], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-24 08:54:09,2023-11-24 08:54:46,37.420s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Các action xử lý/tab_Thông tin hồ sơ_Thông tin KH và NLQ""))",Chrome 119.0.0.0,,,2023-11-24 08:54:46,2023-11-24 08:54:47,1.034s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_Trình độ học vấn""))",Chrome 119.0.0.0,,,2023-11-24 08:54:47,2023-11-24 08:54:47,0.332s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT pháp lý KH_Đại học""))",Chrome 119.0.0.0,,,2023-11-24 08:54:47,2023-11-24 08:54:48,0.553s,PASSED
"scrollToElement(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/table_TT pháp lý khách hàng_TT địa chỉ""), 120)",Chrome 119.0.0.0,,,2023-11-24 08:54:48,2023-11-24 08:54:48,0.570s,PASSED
Thread.sleep(2000),Chrome 119.0.0.0,,,2023-11-24 08:54:48,2023-11-24 08:54:50,2.010s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_TT địa chỉ 2_Tỉnh hoặc Thành phố""))",Chrome 119.0.0.0,,,2023-11-24 08:54:50,2023-11-24 08:54:51,0.373s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT pháp lý KH_TT địa chỉ_TP HN""))",Chrome 119.0.0.0,,,2023-11-24 08:54:51,2023-11-24 08:54:51,0.534s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_TT địa chỉ 2_Quận hoặc Huyện""))",Chrome 119.0.0.0,,,2023-11-24 08:54:51,2023-11-24 08:54:52,0.789s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT pháp lý KH_TT địa chỉ_Quận Bắc Từ Liêm""))",Chrome 119.0.0.0,,,2023-11-24 08:54:52,2023-11-24 08:54:53,0.511s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_TT địa chỉ 2_Phường hoặc Xã""))",Chrome 119.0.0.0,,,2023-11-24 08:54:53,2023-11-24 08:54:53,0.785s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplistItem_TT pháp lý KH_TT địa chỉ_Phường Phú Diễn""))",Chrome 119.0.0.0,,,2023-11-24 08:54:53,2023-11-24 08:54:54,0.520s,PASSED
"setText(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT pháp lý KH_TT địa chỉ 2_Số nhà hoặc Tên đường""), ""136 Hồ Tùng Mậu"")",Chrome 119.0.0.0,,,2023-11-24 08:54:54,2023-11-24 08:54:55,1.203s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/button_TT pháp lý KH_TT địa chỉ 2_Lưu""))",Chrome 119.0.0.0,,,2023-11-24 08:54:55,2023-11-24 08:54:56,0.525s,PASSED
"scrollToElement(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/component_Thông tin người liên hệ""), 120)",Chrome 119.0.0.0,,,2023-11-24 08:54:56,2023-11-24 08:54:56,0.461s,PASSED
Thread.sleep(2000),Chrome 119.0.0.0,,,2023-11-24 08:54:56,2023-11-24 08:54:58,2.001s,PASSED
"click(findTestObject(""Screen_Chi tiết yêu cầu/Screen_Chi tiết yêu cầu_Tab Thông tin hồ sơ/Screen_Chi tiết yêu cầu_Tab thông tin hồ sơ_Subtab Thông tin KH và NLQ/droplist_TT người liên hệ 1_Quan hệ với người vay""))",Chrome 119.0.0.0,,,2023-11-24 08:54:58,2023-11-24 08:54:59,0.320s,PASSED
